customer_id,tenure,monthly_charges,total_charges,contract,usage_frequency,support_tickets,engagement_score,last_activity_days,churn,cluster,segment_name
CUS-000001,52,41.01,2095.47,Month-to-month,Medium,0,72,7,0,2,Mid Value / Moderate
CUS-000002,15,35.39,508.18,Month-to-month,Low,6,93,25,1,0,High Value / Loyal
CUS-000003,61,118.89,7532.05,One year,Medium,8,78,50,1,1,Low Value / Dormant
CUS-000004,21,140.58,2856.0,One year,Medium,7,75,35,1,0,High Value / Loyal
CUS-000005,24,79.58,1934.68,Two year,Low,3,30,10,1,3,New / At-Risk
CUS-000006,3,105.73,321.75,One year,Medium,4,97,2,1,0,High Value / Loyal
CUS-000007,22,138.88,2988.48,Month-to-month,High,2,34,59,1,3,New / At-Risk
CUS-000008,53,31.71,1762.52,Two year,Medium,9,39,29,0,2,Mid Value / Moderate
CUS-000009,2,120.16,229.85,Two year,High,9,49,17,1,3,New / At-Risk
CUS-000010,30,100.19,3038.01,Month-to-month,High,1,5,16,1,3,New / At-Risk
CUS-000011,38,97.82,3709.66,Month-to-month,Low,2,43,50,1,1,Low Value / Dormant
CUS-000012,2,58.03,113.11,Month-to-month,High,6,47,8,1,3,New / At-Risk
CUS-000013,64,108.91,6735.49,Two year,Medium,7,59,29,0,1,Low Value / Dormant
CUS-000014,60,123.32,7574.85,Month-to-month,High,1,69,15,0,1,Low Value / Dormant
CUS-000015,21,34.67,758.41,Two year,Low,8,17,7,0,3,New / At-Risk
CUS-000016,33,89.36,2833.08,Two year,Low,3,19,40,0,3,New / At-Risk
CUS-000017,58,33.16,1864.68,Month-to-month,Medium,1,46,25,1,2,Mid Value / Moderate
CUS-000018,22,133.43,3078.31,Month-to-month,Low,6,56,4,1,0,High Value / Loyal
CUS-000019,49,85.99,4009.29,Month-to-month,Medium,1,26,4,0,2,Mid Value / Moderate
CUS-000020,59,125.04,7383.18,Month-to-month,Medium,6,66,45,1,1,Low Value / Dormant
CUS-000021,42,67.85,2854.34,Month-to-month,Medium,7,14,23,1,2,Mid Value / Moderate
CUS-000022,60,36.26,2124.08,One year,Medium,8,52,13,1,2,Mid Value / Moderate
CUS-000023,15,25.39,387.13,One year,Low,0,92,4,0,0,High Value / Loyal
CUS-000024,62,56.6,3665.1,Two year,Medium,1,4,35,0,2,Mid Value / Moderate
CUS-000025,62,51.75,3192.55,Month-to-month,Medium,1,3,24,1,2,Mid Value / Moderate
CUS-000026,47,92.85,4472.59,One year,Low,6,79,16,0,1,Low Value / Dormant
CUS-000027,62,22.83,1435.89,Two year,High,5,22,5,0,2,Mid Value / Moderate
CUS-000028,51,87.67,4459.28,Month-to-month,Low,8,50,6,1,1,Low Value / Dormant
CUS-000029,55,70.93,3725.54,Month-to-month,Medium,2,64,45,0,2,Mid Value / Moderate
CUS-000030,64,95.03,6228.68,One year,Low,7,83,14,0,1,Low Value / Dormant
CUS-000031,3,111.31,329.38,Two year,High,4,98,5,1,0,High Value / Loyal
CUS-000032,51,102.43,5080.1,Month-to-month,High,4,10,31,1,1,Low Value / Dormant
CUS-000033,7,148.0,1082.47,One year,Low,9,56,59,1,0,High Value / Loyal
CUS-000034,21,37.97,819.28,Two year,Medium,4,98,41,1,0,High Value / Loyal
CUS-000035,39,75.87,3095.54,Month-to-month,Medium,7,16,39,0,3,New / At-Risk
CUS-000036,18,75.23,1321.09,Month-to-month,Low,6,37,26,1,3,New / At-Risk
CUS-000037,4,74.22,306.84,One year,Medium,6,55,39,0,0,High Value / Loyal
CUS-000038,60,106.29,6446.33,Month-to-month,High,3,22,4,1,1,Low Value / Dormant
CUS-000039,14,83.68,1227.89,One year,Low,5,32,59,0,3,New / At-Risk
CUS-000040,9,87.27,820.45,Month-to-month,Medium,0,44,15,0,3,New / At-Risk
CUS-000041,53,76.21,4229.96,Two year,High,5,81,51,0,2,Mid Value / Moderate
CUS-000042,2,148.92,311.3,Two year,Medium,4,73,10,0,0,High Value / Loyal
CUS-000043,60,140.58,8019.69,Month-to-month,High,0,52,38,0,1,Low Value / Dormant
CUS-000044,71,60.0,4363.0,Month-to-month,High,0,33,24,1,2,Mid Value / Moderate
CUS-000045,44,34.51,1483.69,One year,Medium,2,97,1,0,2,Mid Value / Moderate
CUS-000046,8,129.17,1054.54,Month-to-month,Medium,3,2,27,0,3,New / At-Risk
CUS-000047,47,149.63,7370.71,One year,High,0,14,6,1,1,Low Value / Dormant
CUS-000048,35,58.04,1937.8,Month-to-month,High,9,61,37,1,2,Mid Value / Moderate
CUS-000049,36,66.51,2410.47,Month-to-month,Medium,6,97,50,1,0,High Value / Loyal
CUS-000050,50,142.41,7287.92,Month-to-month,Medium,1,65,49,0,1,Low Value / Dormant
CUS-000051,4,112.45,438.69,Month-to-month,High,3,86,0,0,0,High Value / Loyal
CUS-000052,2,58.43,113.65,Month-to-month,High,8,30,17,0,3,New / At-Risk
CUS-000053,6,95.54,548.01,One year,Medium,7,27,11,1,3,New / At-Risk
CUS-000054,54,142.75,7395.47,One year,Medium,1,64,52,1,1,Low Value / Dormant
CUS-000055,4,125.54,510.01,One year,Medium,8,33,48,1,3,New / At-Risk
CUS-000056,54,116.44,6290.94,Month-to-month,Low,0,53,7,0,1,Low Value / Dormant
CUS-000057,63,115.81,6953.14,Month-to-month,Medium,5,80,19,0,1,Low Value / Dormant
CUS-000058,18,43.14,813.04,Month-to-month,Low,2,10,34,1,3,New / At-Risk
CUS-000059,44,127.21,5684.52,Month-to-month,Medium,0,27,41,0,1,Low Value / Dormant
CUS-000060,34,55.9,1903.38,One year,Medium,7,37,15,0,2,Mid Value / Moderate
CUS-000061,62,140.95,8540.14,One year,Low,5,2,49,1,1,Low Value / Dormant
CUS-000062,14,67.4,958.56,Month-to-month,Low,3,94,32,1,0,High Value / Loyal
CUS-000063,48,131.5,6226.07,One year,Medium,2,43,39,0,1,Low Value / Dormant
CUS-000064,15,54.61,835.74,Month-to-month,High,9,83,24,1,0,High Value / Loyal
CUS-000065,62,86.89,5485.44,Two year,Low,1,19,18,0,1,Low Value / Dormant
CUS-000066,40,33.9,1300.59,Two year,Medium,4,99,34,0,0,High Value / Loyal
CUS-000067,53,105.82,5837.74,Month-to-month,High,7,11,15,0,1,Low Value / Dormant
CUS-000068,24,128.69,3084.54,One year,Medium,7,52,15,0,3,New / At-Risk
CUS-000069,26,113.4,2916.79,One year,Medium,2,32,47,1,3,New / At-Risk
CUS-000070,60,88.02,5521.96,Month-to-month,Medium,8,80,24,1,1,Low Value / Dormant
CUS-000071,41,25.87,1053.91,Two year,Medium,9,81,31,1,2,Mid Value / Moderate
CUS-000072,29,141.35,4189.75,One year,Medium,4,29,54,1,1,Low Value / Dormant
CUS-000073,15,111.71,1701.7,One year,Medium,6,84,43,0,0,High Value / Loyal
CUS-000074,45,116.96,5087.06,One year,Medium,8,36,27,0,1,Low Value / Dormant
CUS-000075,65,123.31,8408.7,Month-to-month,Medium,6,47,8,1,1,Low Value / Dormant
CUS-000076,71,117.21,8291.38,Month-to-month,Medium,9,88,17,1,1,Low Value / Dormant
CUS-000077,9,77.35,688.78,Month-to-month,Medium,2,43,22,0,3,New / At-Risk
CUS-000078,1,115.37,120.21,Month-to-month,Low,1,52,29,0,3,New / At-Risk
CUS-000079,8,101.25,812.4,Two year,High,6,53,31,1,0,High Value / Loyal
CUS-000080,63,131.02,8423.67,Month-to-month,Medium,9,68,23,1,1,Low Value / Dormant
CUS-000081,11,124.32,1414.87,Two year,High,7,5,10,0,3,New / At-Risk
CUS-000082,8,25.38,197.66,Two year,High,3,83,51,0,0,High Value / Loyal
CUS-000083,35,69.26,2343.82,Two year,Medium,0,48,25,0,2,Mid Value / Moderate
CUS-000084,35,24.51,820.94,Month-to-month,High,5,24,10,1,2,Mid Value / Moderate
CUS-000085,33,33.27,1141.5,Month-to-month,High,8,1,19,0,3,New / At-Risk
CUS-000086,5,98.18,476.21,Month-to-month,High,3,99,43,0,0,High Value / Loyal
CUS-000087,41,133.6,5372.17,Two year,Medium,2,2,17,1,1,Low Value / Dormant
CUS-000088,28,35.58,974.83,Two year,High,5,10,33,1,3,New / At-Risk
CUS-000089,7,78.64,539.73,Month-to-month,Medium,5,63,35,1,0,High Value / Loyal
CUS-000090,12,138.41,1688.89,Month-to-month,High,3,59,3,0,0,High Value / Loyal
CUS-000091,34,125.86,4473.54,One year,Medium,6,6,20,1,3,New / At-Risk
CUS-000092,33,87.56,2840.1,Month-to-month,High,1,84,25,0,0,High Value / Loyal
CUS-000093,48,120.3,5721.28,Two year,Medium,0,83,13,1,1,Low Value / Dormant
CUS-000094,23,87.95,2077.7,Two year,High,5,48,25,0,3,New / At-Risk
CUS-000095,62,40.55,2497.21,One year,High,2,36,12,0,2,Mid Value / Moderate
CUS-000096,37,36.22,1397.07,One year,Medium,2,48,25,0,2,Mid Value / Moderate
CUS-000097,44,44.49,1958.1,One year,Low,0,29,40,0,2,Mid Value / Moderate
CUS-000098,35,65.62,2261.72,Month-to-month,Low,1,41,14,0,2,Mid Value / Moderate
CUS-000099,65,140.97,9595.07,Two year,High,2,88,26,0,1,Low Value / Dormant
CUS-000100,47,123.96,5782.8,Two year,High,0,73,56,0,1,Low Value / Dormant
CUS-000101,3,76.26,222.64,Month-to-month,Medium,7,32,22,1,3,New / At-Risk
CUS-000102,1,84.1,81.39,Month-to-month,High,5,5,21,1,3,New / At-Risk
CUS-000103,5,54.53,286.15,Month-to-month,Low,8,85,9,1,0,High Value / Loyal
CUS-000104,14,111.57,1601.44,Two year,Low,0,17,4,0,3,New / At-Risk
CUS-000105,27,124.36,3327.04,Month-to-month,Medium,3,24,3,0,3,New / At-Risk
CUS-000106,9,51.06,474.52,One year,Medium,3,91,49,0,0,High Value / Loyal
CUS-000107,15,25.44,383.34,Month-to-month,Medium,4,82,35,1,0,High Value / Loyal
CUS-000108,42,101.11,4168.89,Two year,High,1,86,15,0,1,Low Value / Dormant
CUS-000109,51,93.13,4865.05,One year,Low,0,6,31,0,1,Low Value / Dormant
CUS-000110,63,72.28,4665.42,Month-to-month,High,8,28,10,0,2,Mid Value / Moderate
CUS-000111,52,103.71,5392.81,Month-to-month,Medium,4,20,38,1,1,Low Value / Dormant
CUS-000112,4,91.58,349.66,Month-to-month,High,7,80,32,0,0,High Value / Loyal
CUS-000113,23,52.58,1158.09,One year,High,2,19,34,1,3,New / At-Risk
CUS-000114,15,71.7,1106.63,One year,Medium,3,8,47,0,3,New / At-Risk
CUS-000115,43,75.65,3358.39,Month-to-month,Medium,3,18,3,0,2,Mid Value / Moderate
CUS-000116,29,134.43,3968.04,Month-to-month,High,5,37,22,1,1,Low Value / Dormant
CUS-000117,36,144.92,5393.92,Month-to-month,Low,3,61,2,0,1,Low Value / Dormant
CUS-000118,13,136.09,1808.0,Two year,Medium,4,45,19,0,3,New / At-Risk
CUS-000119,32,113.49,3775.94,Month-to-month,Low,4,95,0,1,0,High Value / Loyal
CUS-000120,71,96.05,6581.07,Two year,High,7,38,59,0,1,Low Value / Dormant
CUS-000121,59,109.6,6394.04,One year,High,8,2,32,1,1,Low Value / Dormant
CUS-000122,28,142.08,3964.08,One year,High,7,55,9,1,1,Low Value / Dormant
CUS-000123,66,52.5,3394.88,Month-to-month,High,4,96,43,1,2,Mid Value / Moderate
CUS-000124,42,89.57,3846.54,Month-to-month,Low,5,15,2,0,3,New / At-Risk
CUS-000125,45,109.65,5137.71,One year,High,3,59,54,0,1,Low Value / Dormant
CUS-000126,62,108.3,6655.96,Month-to-month,Medium,1,75,31,0,1,Low Value / Dormant
CUS-000127,57,52.8,3142.26,Month-to-month,Medium,4,5,44,1,2,Mid Value / Moderate
CUS-000128,6,96.28,578.62,Two year,Medium,0,93,58,0,0,High Value / Loyal
CUS-000129,28,123.47,3464.91,Month-to-month,Medium,0,84,37,0,0,High Value / Loyal
CUS-000130,28,81.76,2312.23,Month-to-month,High,0,20,30,0,3,New / At-Risk
CUS-000131,44,123.13,5292.15,One year,Medium,3,82,20,0,1,Low Value / Dormant
CUS-000132,30,66.78,1980.17,Two year,Medium,4,12,23,0,3,New / At-Risk
CUS-000133,62,142.04,8853.29,Month-to-month,Medium,3,57,58,0,1,Low Value / Dormant
CUS-000134,62,89.41,5788.47,One year,Medium,5,81,23,1,1,Low Value / Dormant
CUS-000135,1,97.47,98.86,One year,Low,1,68,51,0,0,High Value / Loyal
CUS-000136,27,24.08,639.23,Two year,High,4,19,9,0,3,New / At-Risk
CUS-000137,62,42.13,2484.49,Month-to-month,Medium,5,87,5,1,2,Mid Value / Moderate
CUS-000138,3,102.28,321.62,Two year,High,4,27,27,0,3,New / At-Risk
CUS-000139,70,74.58,5217.16,Month-to-month,Medium,5,53,0,0,1,Low Value / Dormant
CUS-000140,27,86.06,2425.55,Month-to-month,Low,7,42,57,1,3,New / At-Risk
CUS-000141,9,28.19,254.93,Month-to-month,Medium,1,45,46,1,3,New / At-Risk
CUS-000142,62,128.44,8047.11,Month-to-month,Medium,6,78,45,0,1,Low Value / Dormant
CUS-000143,37,121.99,4609.12,One year,Medium,5,68,43,1,1,Low Value / Dormant
CUS-000144,51,44.1,2208.64,One year,Low,9,68,9,1,2,Mid Value / Moderate
CUS-000145,44,102.46,4598.07,Month-to-month,Low,7,24,40,0,1,Low Value / Dormant
CUS-000146,24,126.38,3041.27,Month-to-month,Medium,8,87,29,1,0,High Value / Loyal
CUS-000147,59,103.31,6200.48,Month-to-month,Low,7,36,52,0,1,Low Value / Dormant
CUS-000148,32,60.35,1996.11,Month-to-month,Medium,4,75,14,0,0,High Value / Loyal
CUS-000149,52,105.29,5302.42,Month-to-month,High,3,97,13,1,1,Low Value / Dormant
CUS-000150,62,47.36,2969.66,Month-to-month,Low,2,5,23,0,2,Mid Value / Moderate
CUS-000151,58,61.37,3400.21,Month-to-month,Medium,9,27,9,1,2,Mid Value / Moderate
CUS-000152,52,51.21,2556.92,Month-to-month,High,8,37,25,1,2,Mid Value / Moderate
CUS-000153,12,92.4,1128.16,Two year,High,6,27,0,1,3,New / At-Risk
CUS-000154,39,34.07,1271.7,Month-to-month,Low,0,95,19,1,0,High Value / Loyal
CUS-000155,2,141.33,285.36,Month-to-month,Low,2,76,28,1,0,High Value / Loyal
CUS-000156,3,63.36,184.75,Month-to-month,Medium,2,47,33,0,3,New / At-Risk
CUS-000157,56,48.47,2660.93,Month-to-month,Medium,5,64,1,1,2,Mid Value / Moderate
CUS-000158,59,84.55,4803.78,One year,Medium,1,6,1,0,1,Low Value / Dormant
CUS-000159,2,56.01,109.2,Two year,Medium,3,76,1,0,0,High Value / Loyal
CUS-000160,2,89.54,184.83,One year,Medium,1,56,7,0,0,High Value / Loyal
CUS-000161,54,65.31,3575.51,One year,Low,4,14,53,1,2,Mid Value / Moderate
CUS-000162,1,37.17,38.84,Month-to-month,Low,3,22,24,1,3,New / At-Risk
CUS-000163,19,54.57,989.98,Month-to-month,Medium,3,55,17,0,0,High Value / Loyal
CUS-000164,2,77.0,158.5,One year,Medium,3,75,44,0,0,High Value / Loyal
CUS-000165,53,23.94,1293.98,Two year,Medium,3,52,16,1,2,Mid Value / Moderate
CUS-000166,44,120.18,5161.63,Two year,Medium,4,56,29,0,1,Low Value / Dormant
CUS-000167,32,100.84,3300.74,Month-to-month,Low,1,77,7,1,0,High Value / Loyal
CUS-000168,70,98.18,7021.19,Month-to-month,High,5,6,41,1,1,Low Value / Dormant
CUS-000169,32,90.99,2899.73,Month-to-month,High,0,20,45,1,3,New / At-Risk
